"subject_id"	"activity_id"	"activity"	"mean"
5	5	"STANDING"	0.12739496686774
6	5	"STANDING"	0.0888154290998613
7	5	"STANDING"	0.0965962852898165
8	5	"STANDING"	0.095030600653859
9	5	"STANDING"	0.116706544943727
10	5	"STANDING"	0.113002111204627
11	5	"STANDING"	0.108120987963267
12	5	"STANDING"	0.0852632996447299
13	5	"STANDING"	0.0799491609263586
14	5	"STANDING"	0.0468198776484578
15	5	"STANDING"	0.103444519297167
16	5	"STANDING"	0.089202780800376
17	5	"STANDING"	0.0586659191903419
18	5	"STANDING"	0.0852276641088806
19	5	"STANDING"	0.102251278692894
20	5	"STANDING"	0.0846549982660216
21	5	"STANDING"	0.046670910855272
22	5	"STANDING"	0.0922868306418952
23	5	"STANDING"	0.073448769312673
24	5	"STANDING"	0.0929776407020425
25	5	"STANDING"	0.116431046509969
26	5	"STANDING"	0.1082817385744
27	5	"STANDING"	0.0928517948112272
28	5	"STANDING"	0.0817482234262342
29	5	"STANDING"	0.112132348152523
30	5	"STANDING"	0.106336701013
1	6	"LAYING"	0.143845277743723
2	6	"LAYING"	0.15394812506541
3	6	"LAYING"	0.169076068965856
4	6	"LAYING"	0.146996033259391
5	6	"LAYING"	0.138735392875804
6	6	"LAYING"	0.126250288501328
7	6	"LAYING"	0.141513359277836
8	6	"LAYING"	0.152110868655492
9	6	"LAYING"	0.07980616766658
10	6	"LAYING"	-0.0166836342343329
11	6	"LAYING"	0.149942685019834
12	6	"LAYING"	0.129732535113826
13	6	"LAYING"	0.165046891483123
14	6	"LAYING"	0.172604115873435
15	6	"LAYING"	0.122369805241437
16	6	"LAYING"	0.116388617760707
17	6	"LAYING"	0.175106571739412
18	6	"LAYING"	0.167144715611682
19	6	"LAYING"	0.140610368338065
20	6	"LAYING"	0.149485030391003
21	6	"LAYING"	0.176364610994011
22	6	"LAYING"	0.162421783129718
23	6	"LAYING"	0.156335234118465
24	6	"LAYING"	0.167135638106756
25	6	"LAYING"	0.131006116698177
26	6	"LAYING"	0.148385966696973
27	6	"LAYING"	0.152667167368503
28	6	"LAYING"	0.0170336046439931
29	6	"LAYING"	0.167767478602611
30	6	"LAYING"	0.167997922341
